geoid,geoid20,year,total_pop
1400000US06037134801,6037134801,2022,3091
1400000US06037134802,6037134802,2022,3121
1400000US06037134901,6037134901,2022,2577
1400000US06037134904,6037134904,2022,4615
1400000US06037134905,6037134905,2022,5590
1400000US06037134906,6037134906,2022,3056
1400000US06037134907,6037134907,2022,3635
1400000US06037135102,6037135102,2022,3652
1400000US06037135111,6037135111,2022,4001
1400000US06037135113,6037135113,2022,2951
1400000US06037135115,6037135115,2022,3212
1400000US06037135116,6037135116,2022,1477
1400000US06037135201,6037135201,2022,3104
1400000US06037135202,6037135202,2022,4625
1400000US06037135204,6037135204,2022,4481
1400000US06037135205,6037135205,2022,2059
1400000US06037137000,6037137000,2022,5035
1400000US06037137103,6037137103,2022,5560
1400000US06037137104,6037137104,2022,2416
1400000US06037137202,6037137202,2022,3339
1400000US06037137203,6037137203,2022,2660
1400000US06037137301,6037137301,2022,2142
1400000US06037137302,6037137302,2022,4376
1400000US06037137401,6037137401,2022,4567
1400000US06037137402,6037137402,2022,5663
1400000US06037137501,6037137501,2022,5426
1400000US06037137502,6037137502,2022,4432
1400000US06037137504,6037137504,2022,1983
1400000US06037138000,6037138000,2022,4826
1400000US06037139001,6037139001,2022,5511
1400000US06037139200,6037139200,2022,5946
1400000US06037139301,6037139301,2022,4243
1400000US06037139302,6037139302,2022,5181
1400000US06037139303,6037139303,2022,4556
1400000US06037139401,6037139401,2022,2405
1400000US06037139402,6037139402,2022,2893
1400000US06037139502,6037139502,2022,3113
1400000US06037139504,6037139504,2022,3741
1400000US06037139505,6037139505,2022,2485
1400000US06037139506,6037139506,2022,2889
1400000US06037139600,6037139600,2022,5134
1400000US06037139701,6037139701,2022,5388
1400000US06037139703,6037139703,2022,2438
1400000US06037139704,6037139704,2022,2597
1400000US06037139705,6037139705,2022,4097
1400000US06037139801,6037139801,2022,3498
1400000US06037139802,6037139802,2022,3887
1400000US06037141101,6037141101,2022,4434
1400000US06037141102,6037141102,2022,2961
1400000US06037141201,6037141201,2022,3960
1400000US06037141202,6037141202,2022,2958
1400000US06037141303,6037141303,2022,3231
1400000US06037141304,6037141304,2022,3011
1400000US06037141305,6037141305,2022,2878
1400000US06037141306,6037141306,2022,3076
1400000US06037141400,6037141400,2022,5019
1400000US06037141500,6037141500,2022,3017
1400000US06037141600,6037141600,2022,3853
1400000US06037141700,6037141700,2022,3086
1400000US06037143101,6037143101,2022,2074
1400000US06037143102,6037143102,2022,2337
1400000US06037143200,6037143200,2022,4235
1400000US06037143301,6037143301,2022,3385
1400000US06037143302,6037143302,2022,3258
1400000US06037143401,6037143401,2022,5478
1400000US06037143402,6037143402,2022,1844
1400000US06037143500,6037143500,2022,5328
1400000US06037143602,6037143602,2022,4734
1400000US06037143603,6037143603,2022,2459
1400000US06037143605,6037143605,2022,1827
1400000US06037143606,6037143606,2022,1695
1400000US06037143700,6037143700,2022,3438
1400000US06037143801,6037143801,2022,3411
1400000US06037143802,6037143802,2022,2239
1400000US06037143901,6037143901,2022,4222
1400000US06037143902,6037143902,2022,3053
1400000US06037181000,6037181000,2022,5992
1400000US06037181300,6037181300,2022,3971
1400000US06037181400,6037181400,2022,4655
1400000US06037181500,6037181500,2022,4106
1400000US06037181600,6037181600,2022,4438
1400000US06037183101,6037183101,2022,2741
1400000US06037183103,6037183103,2022,4548
1400000US06037183104,6037183104,2022,1902
1400000US06037183220,6037183220,2022,3118
1400000US06037183221,6037183221,2022,3514
1400000US06037183222,6037183222,2022,3616
1400000US06037183300,6037183300,2022,3231
1400000US06037183401,6037183401,2022,2416
1400000US06037183402,6037183402,2022,2939
1400000US06037183510,6037183510,2022,2346
1400000US06037183520,6037183520,2022,3850
1400000US06037183610,6037183610,2022,3042
1400000US06037183620,6037183620,2022,3038
1400000US06037183701,6037183701,2022,3181
1400000US06037183702,6037183702,2022,3074
1400000US06037183810,6037183810,2022,4259
1400000US06037183820,6037183820,2022,3352
1400000US06037185101,6037185101,2022,2780
1400000US06037185102,6037185102,2022,3542
1400000US06037185202,6037185202,2022,4098
1400000US06037185203,6037185203,2022,2696
1400000US06037185204,6037185204,2022,1778
1400000US06037185310,6037185310,2022,2897
1400000US06037185320,6037185320,2022,2735
1400000US06037186100,6037186100,2022,4725
1400000US06037186201,6037186201,2022,3382
1400000US06037186202,6037186202,2022,1676
1400000US06037186203,6037186203,2022,2991
1400000US06037186301,6037186301,2022,2619
1400000US06037186302,6037186302,2022,4850
1400000US06037186401,6037186401,2022,2692
1400000US06037186403,6037186403,2022,2608
1400000US06037186404,6037186404,2022,2663
1400000US06037187101,6037187101,2022,3029
1400000US06037187102,6037187102,2022,4637
1400000US06037187200,6037187200,2022,2668
1400000US06037187300,6037187300,2022,3678
1400000US06037188100,6037188100,2022,3729
1400000US06037188201,6037188201,2022,3027
1400000US06037188202,6037188202,2022,3024
1400000US06037188300,6037188300,2022,3475
1400000US06037189101,6037189101,2022,2328
1400000US06037189102,6037189102,2022,3858
1400000US06037189201,6037189201,2022,2908
1400000US06037189202,6037189202,2022,2948
1400000US06037189300,6037189300,2022,2930
1400000US06037189400,6037189400,2022,3017
1400000US06037189501,6037189501,2022,2182
1400000US06037189502,6037189502,2022,1875
1400000US06037189600,6037189600,2022,3693
1400000US06037189702,6037189702,2022,2283
1400000US06037189703,6037189703,2022,1872
1400000US06037189704,6037189704,2022,1561
1400000US06037189801,6037189801,2022,1781
1400000US06037189802,6037189802,2022,1857
1400000US06037189903,6037189903,2022,2235
1400000US06037189904,6037189904,2022,2316
1400000US06037189905,6037189905,2022,2412
1400000US06037189906,6037189906,2022,2448
1400000US06037189907,6037189907,2022,2429
1400000US06037190101,6037190101,2022,1731
1400000US06037190102,6037190102,2022,2657
1400000US06037190201,6037190201,2022,3031
1400000US06037190202,6037190202,2022,2860
1400000US06037190302,6037190302,2022,2967
1400000US06037190303,6037190303,2022,2514
1400000US06037190401,6037190401,2022,2845
1400000US06037190402,6037190402,2022,2194
1400000US06037190510,6037190510,2022,3974
1400000US06037190520,6037190520,2022,3617
1400000US06037190701,6037190701,2022,1629
1400000US06037190702,6037190702,2022,1154
1400000US06037190801,6037190801,2022,3200
1400000US06037190802,6037190802,2022,2794
1400000US06037190901,6037190901,2022,3609
1400000US06037190902,6037190902,2022,3754
1400000US06037191000,6037191000,2022,5141
1400000US06037191110,6037191110,2022,3584
1400000US06037191120,6037191120,2022,3892
1400000US06037191201,6037191201,2022,5729
1400000US06037191203,6037191203,2022,2168
1400000US06037191204,6037191204,2022,1480
1400000US06037191301,6037191301,2022,1993
1400000US06037191302,6037191302,2022,1736
1400000US06037191410,6037191410,2022,3409
1400000US06037191420,6037191420,2022,3285
1400000US06037191500,6037191500,2022,5683
1400000US06037191610,6037191610,2022,3999
1400000US06037191620,6037191620,2022,2768
1400000US06037191710,6037191710,2022,2670
1400000US06037191720,6037191720,2022,3492
1400000US06037191810,6037191810,2022,2807
1400000US06037191820,6037191820,2022,3803
1400000US06037191901,6037191901,2022,3932
1400000US06037191902,6037191902,2022,2836
1400000US06037192001,6037192001,2022,2131
1400000US06037192002,6037192002,2022,2586
1400000US06037192300,6037192300,2022,2594
1400000US06037192410,6037192410,2022,4066
1400000US06037192420,6037192420,2022,3564
1400000US06037192510,6037192510,2022,3711
1400000US06037192520,6037192520,2022,5119
1400000US06037192610,6037192610,2022,3958
1400000US06037192620,6037192620,2022,3562
1400000US06037192700,6037192700,2022,3234
1400000US06037194101,6037194101,2022,3139
1400000US06037194102,6037194102,2022,2490
1400000US06037194200,6037194200,2022,3440
1400000US06037194300,6037194300,2022,2746
1400000US06037194401,6037194401,2022,2636
1400000US06037194402,6037194402,2022,3101
1400000US06037194500,6037194500,2022,2011
1400000US06037195100,6037195100,2022,5042
1400000US06037195201,6037195201,2022,2698
1400000US06037195202,6037195202,2022,3329
1400000US06037195300,6037195300,2022,2903
1400000US06037195400,6037195400,2022,4221
1400000US06037195500,6037195500,2022,5010
1400000US06037195600,6037195600,2022,2707
1400000US06037195710,6037195710,2022,4860
1400000US06037195720,6037195720,2022,1795
1400000US06037195802,6037195802,2022,2958
1400000US06037195803,6037195803,2022,2351
1400000US06037195804,6037195804,2022,2527
1400000US06037195901,6037195901,2022,2435
1400000US06037195902,6037195902,2022,1779
1400000US06037195903,6037195903,2022,1923
1400000US06037197200,6037197200,2022,3602
1400000US06037197300,6037197300,2022,3847
1400000US06037197410,6037197410,2022,3725
1400000US06037197420,6037197420,2022,3962
1400000US06037197500,6037197500,2022,3882
1400000US06037197600,6037197600,2022,2130
1400000US06037197700,6037197700,2022,4963
1400000US06037199001,6037199001,2022,2214
1400000US06037199002,6037199002,2022,2610
1400000US06037199110,6037199110,2022,2452
1400000US06037199120,6037199120,2022,4031
1400000US06037199201,6037199201,2022,3540
1400000US06037199202,6037199202,2022,2594
1400000US06037199300,6037199300,2022,4093
1400000US06037199400,6037199400,2022,4497
1400000US06037199700,6037199700,2022,3025
1400000US06037199801,6037199801,2022,3745
1400000US06037199802,6037199802,2022,2064
1400000US06037199900,6037199900,2022,2341
1400000US06037201110,6037201110,2022,2390
1400000US06037201120,6037201120,2022,3934
1400000US06037201200,6037201200,2022,2711
1400000US06037201301,6037201301,2022,3433
1400000US06037201302,6037201302,2022,4001
1400000US06037201401,6037201401,2022,4632
1400000US06037201402,6037201402,2022,4445
1400000US06037201501,6037201501,2022,5594
1400000US06037201503,6037201503,2022,3261
1400000US06037201504,6037201504,2022,2177
1400000US06037201601,6037201601,2022,2337
1400000US06037201602,6037201602,2022,2619
1400000US06037201700,6037201700,2022,4865
1400000US06037203100,6037203100,2022,4357
1400000US06037203200,6037203200,2022,5417
1400000US06037203300,6037203300,2022,1718
1400000US06037203500,6037203500,2022,2915
1400000US06037203601,6037203601,2022,2629
1400000US06037203602,6037203602,2022,2074
1400000US06037203710,6037203710,2022,3449
1400000US06037203720,6037203720,2022,3892
1400000US06037203800,6037203800,2022,4728
1400000US06037203900,6037203900,2022,3208
1400000US06037204110,6037204110,2022,3097
1400000US06037204120,6037204120,2022,2606
1400000US06037204200,6037204200,2022,3427
1400000US06037204300,6037204300,2022,5294
1400000US06037204410,6037204410,2022,2618
1400000US06037204420,6037204420,2022,3085
1400000US06037204600,6037204600,2022,4135
1400000US06037204700,6037204700,2022,4847
1400000US06037204810,6037204810,2022,4929
1400000US06037204820,6037204820,2022,2222
1400000US06037204910,6037204910,2022,3065
1400000US06037204920,6037204920,2022,2623
1400000US06037205110,6037205110,2022,3447
1400000US06037205120,6037205120,2022,3630
1400000US06037206010,6037206010,2022,3729
1400000US06037206020,6037206020,2022,8994
1400000US06037206050,6037206050,2022,2317
1400000US06037206051,6037206051,2022,1325
1400000US06037206052,6037206052,2022,3150
1400000US06037206053,6037206053,2022,3007
1400000US06037206054,6037206054,2022,2455
1400000US06037206201,6037206201,2022,2203
1400000US06037206202,6037206202,2022,1915
1400000US06037206301,6037206301,2022,2133
1400000US06037206302,6037206302,2022,2271
1400000US06037206303,6037206303,2022,2757
1400000US06037207101,6037207101,2022,3864
1400000US06037207102,6037207102,2022,3198
1400000US06037207103,6037207103,2022,2055
1400000US06037207303,6037207303,2022,2387
1400000US06037207304,6037207304,2022,2251
1400000US06037207305,6037207305,2022,796
1400000US06037207306,6037207306,2022,1947
1400000US06037207307,6037207307,2022,1403
1400000US06037207308,6037207308,2022,1268
1400000US06037207400,6037207400,2022,2091
1400000US06037207501,6037207501,2022,1995
1400000US06037207502,6037207502,2022,3652
1400000US06037207711,6037207711,2022,2189
1400000US06037207712,6037207712,2022,4388
1400000US06037207901,6037207901,2022,3227
1400000US06037207902,6037207902,2022,7214
1400000US06037208001,6037208001,2022,2452
1400000US06037208002,6037208002,2022,4147
1400000US06037208301,6037208301,2022,1904
1400000US06037208302,6037208302,2022,4881
1400000US06037208401,6037208401,2022,4092
1400000US06037208402,6037208402,2022,2719
1400000US06037208501,6037208501,2022,2577
1400000US06037208502,6037208502,2022,4208
1400000US06037208610,6037208610,2022,4274
1400000US06037208620,6037208620,2022,3930
1400000US06037208710,6037208710,2022,4757
1400000US06037208720,6037208720,2022,3917
1400000US06037208801,6037208801,2022,3397
1400000US06037208802,6037208802,2022,2792
1400000US06037208902,6037208902,2022,2376
1400000US06037208903,6037208903,2022,3955
1400000US06037208904,6037208904,2022,3816
1400000US06037209103,6037209103,2022,3648
1400000US06037209104,6037209104,2022,2485
1400000US06037209105,6037209105,2022,3231
1400000US06037209106,6037209106,2022,2531
1400000US06037209201,6037209201,2022,3026
1400000US06037209202,6037209202,2022,1485
1400000US06037209300,6037209300,2022,4763
1400000US06037209401,6037209401,2022,4095
1400000US06037209402,6037209402,2022,4296
1400000US06037209403,6037209403,2022,4311
1400000US06037209510,6037209510,2022,2635
1400000US06037209520,6037209520,2022,2569
1400000US06037209810,6037209810,2022,2740
1400000US06037209820,6037209820,2022,2559
1400000US06037210010,6037210010,2022,3349
1400000US06037211000,6037211000,2022,5130
1400000US06037211121,6037211121,2022,2354
1400000US06037211122,6037211122,2022,2641
1400000US06037211123,6037211123,2022,1748
1400000US06037211124,6037211124,2022,4321
1400000US06037211201,6037211201,2022,2391
1400000US06037211202,6037211202,2022,2307
1400000US06037211310,6037211310,2022,3330
1400000US06037211320,6037211320,2022,3326
1400000US06037211410,6037211410,2022,3038
1400000US06037211420,6037211420,2022,3639
1400000US06037211500,6037211500,2022,4064
1400000US06037211701,6037211701,2022,2677
1400000US06037211703,6037211703,2022,4624
1400000US06037211704,6037211704,2022,2802
1400000US06037211802,6037211802,2022,4575
1400000US06037211803,6037211803,2022,3528
1400000US06037211804,6037211804,2022,3131
1400000US06037211910,6037211910,2022,4143
1400000US06037211921,6037211921,2022,2113
1400000US06037211922,6037211922,2022,3420
1400000US06037212101,6037212101,2022,2612
1400000US06037212102,6037212102,2022,2682
1400000US06037212202,6037212202,2022,3417
1400000US06037212203,6037212203,2022,2733
1400000US06037212204,6037212204,2022,3431
1400000US06037212303,6037212303,2022,3864
1400000US06037212304,6037212304,2022,1721
1400000US06037212305,6037212305,2022,2745
1400000US06037212306,6037212306,2022,3030
1400000US06037212410,6037212410,2022,4084
1400000US06037212420,6037212420,2022,2616
1400000US06037212501,6037212501,2022,1898
1400000US06037212502,6037212502,2022,2997
1400000US06037212610,6037212610,2022,4218
1400000US06037212620,6037212620,2022,3799
