geoid,geoid20,year,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct
1400000US06037139402,6037139402,2022,2892,340,11.75657,715,24.723375
1400000US06037139502,6037139502,2022,3113,163,5.2361069,323,10.375843
1400000US06037139504,6037139504,2022,3741,665,17.775995,1200,32.076984
1400000US06037139505,6037139505,2022,2485,574,23.098591,1075,43.259556
1400000US06037139506,6037139506,2022,2889,124,4.2921424,657,22.741432
1400000US06037139600,6037139600,2022,5134,307,5.979743,648,12.621737
1400000US06037139701,6037139701,2022,5335,706,13.233364,872,16.344893
1400000US06037139703,6037139703,2022,2431,70,2.8794734,225,9.2554502
1400000US06037139704,6037139704,2022,2597,193,7.4316521,378,14.555256
1400000US06037139705,6037139705,2022,4097,48,1.171589,139,3.3927264
1400000US06037139801,6037139801,2022,3498,114,3.2590051,413,11.806746
1400000US06037139802,6037139802,2022,3887,323,8.3097506,420,10.805248
1400000US06037141101,6037141101,2022,4434,329,7.4199367,786,17.726658
1400000US06037141102,6037141102,2022,2961,310,10.469436,809,27.32185
1400000US06037141201,6037141201,2022,3946,454,11.505322,816,20.679169
1400000US06037141202,6037141202,2022,2958,259,8.7559166,580,19.607843
1400000US06037141303,6037141303,2022,3229,397,12.294828,756,23.412821
1400000US06037141304,6037141304,2022,3011,347,11.52441,594,19.727665
1400000US06037141305,6037141305,2022,2878,327,11.362057,456,15.844337
1400000US06037141306,6037141306,2022,3076,90,2.9258778,353,11.475943
1400000US06037141400,6037141400,2022,4986,286,5.7360611,762,15.282792
1400000US06037141500,6037141500,2022,3017,89,2.9499502,171,5.667882
1400000US06037141600,6037141600,2022,3853,213,5.5281601,434,11.26395
1400000US06037141700,6037141700,2022,3086,51,1.6526247,79,2.5599482
1400000US06037143101,6037143101,2022,2074,69,3.3269045,298,14.36837
1400000US06037143102,6037143102,2022,2337,80,3.423192,349,14.933676
1400000US06037143200,6037143200,2022,4235,408,9.6340027,1072,25.312868
1400000US06037143301,6037143301,2022,3385,177,5.2289515,650,19.202364
1400000US06037143302,6037143302,2022,3258,246,7.5506444,532,16.329037
1400000US06037143401,6037143401,2022,5478,294,5.3669224,601,10.971157
1400000US06037143402,6037143402,2022,1844,40,2.1691973,499,27.060738
1400000US06037143500,6037143500,2022,5328,264,4.9549551,503,9.440691
1400000US06037143602,6037143602,2022,4439,612,13.786889,1148,25.861681
1400000US06037143603,6037143603,2022,2459,256,10.410736,446,18.137455
1400000US06037143605,6037143605,2022,1827,181,9.906951,475,25.998905
1400000US06037143606,6037143606,2022,1695,171,10.088495,382,22.536873
1400000US06037143700,6037143700,2022,3438,241,7.0098896,485,14.107039
1400000US06037143801,6037143801,2022,3411,163,4.7786574,292,8.5605392
1400000US06037143802,6037143802,2022,2239,85,3.7963376,366,16.346582
1400000US06037143901,6037143901,2022,4210,90,2.1377673,242,5.7482185
1400000US06037143902,6037143902,2022,3053,284,9.3023252,379,12.414019
1400000US06037181000,6037181000,2022,5903,580,9.8255129,1238,20.972387
1400000US06037181300,6037181300,2022,3971,240,6.0438175,620,15.613195
