geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count
1400000US06037186100,6037186100,2023,439,171,38.950001,133,38
1400000US06037186401,6037186401,2023,1558,1276,81.900002,1182,94
1400000US06037186404,6037186404,2023,242,213,88.019997,203,10
1400000US06037187101,6037187101,2023,310,184,59.349998,173,11
1400000US06037187102,6037187102,2023,1141,714,62.580002,631,83
1400000US06037187300,6037187300,2023,283,222,78.449997,186,36
1400000US06037188201,6037188201,2023,415,48,11.57,47,1
1400000US06037188300,6037188300,2023,201,130,64.68,116,14
1400000US06037189201,6037189201,2023,387,332,85.790001,313,19
1400000US06037189501,6037189501,2023,155,121,78.059998,112,9
1400000US06037189905,6037189905,2023,350,223,63.709999,212,11
1400000US06037190102,6037190102,2023,1086,994,91.529999,964,30
1400000US06037190510,6037190510,2023,398,380,95.480003,369,11
1400000US06037190901,6037190901,2023,1257,1202,95.620003,1150,52
1400000US06037190902,6037190902,2023,835,784,93.889999,760,24
1400000US06037191120,6037191120,2023,303,290,95.709999,284,6
1400000US06037191204,6037191204,2023,260,252,96.919998,248,4
1400000US06037191301,6037191301,2023,71,60,84.510002,58,2
1400000US06037191410,6037191410,2023,309,302,97.730003,293,9
1400000US06037191720,6037191720,2023,733,707,96.449997,659,48
1400000US06037191810,6037191810,2023,247,228,92.309998,222,6
1400000US06037191901,6037191901,2023,446,411,92.150002,397,14
1400000US06037192001,6037192001,2023,440,181,41.139999,141,40
1400000US06037192002,6037192002,2023,1652,1345,81.419998,1269,76
1400000US06037192410,6037192410,2023,166,145,87.349998,137,8
1400000US06037192520,6037192520,2023,250,228,91.199997,223,5
1400000US06037192620,6037192620,2023,482,460,95.440002,445,15
1400000US06037192700,6037192700,2023,256,245,95.699997,229,16
1400000US06037194300,6037194300,2023,411,69,16.790001,65,4
1400000US06037195201,6037195201,2023,2293,1466,63.93,1320,146
1400000US06037195300,6037195300,2023,1722,1249,72.529999,1163,86
1400000US06037195400,6037195400,2023,330,113,34.240002,112,1
1400000US06037195500,6037195500,2023,142,127,89.440002,115,12
1400000US06037195710,6037195710,2023,722,654,90.580002,646,8
1400000US06037197200,6037197200,2023,206,164,79.610001,155,9
1400000US06037197300,6037197300,2023,372,199,53.490002,185,14
1400000US06037197410,6037197410,2023,101,56,55.450001,55,1
1400000US06037197420,6037197420,2023,773,704,91.07,618,86
1400000US06037199001,6037199001,2023,187,25,13.37,25,0
1400000US06037199002,6037199002,2023,243,227,93.419998,221,6
1400000US06037199120,6037199120,2023,337,266,78.93,240,26
1400000US06037199201,6037199201,2023,288,244,84.720001,233,11
1400000US06037199202,6037199202,2023,1167,1114,95.459999,1059,55
1400000US06037199300,6037199300,2023,524,455,86.830002,432,23
1400000US06037199400,6037199400,2023,94,90,95.739998,89,1
1400000US06037199700,6037199700,2023,972,912,93.830002,847,65
1400000US06037199801,6037199801,2023,307,288,93.809998,280,8
1400000US06037199802,6037199802,2023,444,414,93.239998,401,13
1400000US06037201120,6037201120,2023,172,150,87.209999,137,13
1400000US06037201200,6037201200,2023,254,237,93.309998,229,8
1400000US06037201301,6037201301,2023,276,262,94.93,253,9
1400000US06037201302,6037201302,2023,38,31,81.580002,29,2
1400000US06037201401,6037201401,2023,1421,1284,90.360001,1209,75
1400000US06037201402,6037201402,2023,1690,1527,90.360001,1452,75
1400000US06037201501,6037201501,2023,175,165,94.290001,164,1
1400000US06037201602,6037201602,2023,270,249,92.220001,231,18
1400000US06037201700,6037201700,2023,541,109,20.15,109,0
1400000US06037203100,6037203100,2023,360,351,97.5,343,8
1400000US06037203200,6037203200,2023,513,484,94.349998,471,13
1400000US06037203300,6037203300,2023,1688,1505,89.160004,1407,98
1400000US06037203500,6037203500,2023,173,168,97.110001,162,6
1400000US06037203601,6037203601,2023,513,498,97.080002,485,13
1400000US06037203800,6037203800,2023,446,424,95.07,417,7
1400000US06037204110,6037204110,2023,470,410,87.230003,361,49
1400000US06037204300,6037204300,2023,2377,2291,96.379997,2226,65
1400000US06037204410,6037204410,2023,206,191,92.720001,187,4
1400000US06037204420,6037204420,2023,593,571,96.290001,552,19
1400000US06037204700,6037204700,2023,2185,2056,94.099998,1929,127
1400000US06037204810,6037204810,2023,1163,1100,94.580002,1069,31
1400000US06037204820,6037204820,2023,590,558,94.580002,515,43
1400000US06037204910,6037204910,2023,1027,985,95.910004,957,28
1400000US06037205110,6037205110,2023,893,864,96.75,819,45
1400000US06037205120,6037205120,2023,77,73,94.809998,72,1
1400000US06037206010,6037206010,2023,253,176,69.57,164,12
1400000US06037206050,6037206050,2023,278,228,82.010002,203,25
1400000US06037206051,6037206051,2023,318,282,88.68,259,23
1400000US06037206054,6037206054,2023,1227,1178,96.010002,1135,43
1400000US06037207101,6037207101,2023,1153,804,69.730003,761,43
1400000US06037207103,6037207103,2023,578,490,84.779999,470,20
1400000US06037207400,6037207400,2023,270,200,74.07,194,6
1400000US06037207502,6037207502,2023,459,239,52.07,239,0
1400000US06037207712,6037207712,2023,326,237,72.699997,220,17
1400000US06037208001,6037208001,2023,2523,2315,91.760002,2234,81
1400000US06037208002,6037208002,2023,404,386,95.540001,356,30
1400000US06037208302,6037208302,2023,1341,1312,97.839996,1274,38
1400000US06037208401,6037208401,2023,792,779,98.360001,771,8
1400000US06037208501,6037208501,2023,797,478,59.970001,424,54
1400000US06037208610,6037208610,2023,412,386,93.690002,366,20
1400000US06037208710,6037208710,2023,57,54,94.739998,53,1
1400000US06037208720,6037208720,2023,636,592,93.080002,526,66
1400000US06037208801,6037208801,2023,365,359,98.360001,357,2
1400000US06037208802,6037208802,2023,699,658,94.129997,627,31
1400000US06037208902,6037208902,2023,1160,1151,99.220001,1149,2
1400000US06037209103,6037209103,2023,527,493,93.550003,480,13
1400000US06037209104,6037209104,2023,396,395,99.75,395,0
1400000US06037209106,6037209106,2023,851,847,99.529999,842,5
1400000US06037209202,6037209202,2023,1135,1121,98.769997,1109,12
1400000US06037209520,6037209520,2023,625,559,89.440002,512,47
1400000US06037209820,6037209820,2023,480,314,65.419998,311,3
1400000US06037210010,6037210010,2023,448,443,98.879997,437,6
1400000US06037211000,6037211000,2023,1373,1128,82.160004,1081,47
1400000US06037211121,6037211121,2023,946,891,94.190002,874,17
1400000US06037211122,6037211122,2023,2075,1943,93.639999,1872,71
1400000US06037211123,6037211123,2023,903,882,97.669998,861,21
1400000US06037211124,6037211124,2023,657,594,90.410004,594,0
1400000US06037211202,6037211202,2023,470,458,97.449997,448,10
1400000US06037211410,6037211410,2023,456,416,91.230003,396,20
1400000US06037211420,6037211420,2023,340,296,87.059998,284,12
1400000US06037212202,6037212202,2023,548,537,97.989998,529,8
1400000US06037212204,6037212204,2023,727,673,92.57,604,69
1400000US06037212303,6037212303,2023,317,227,71.610001,218,9
1400000US06037212304,6037212304,2023,3569,3423,95.910004,3344,79
1400000US06037212610,6037212610,2023,630,574,91.110001,556,18
1400000US06037212800,6037212800,2023,2063,1502,72.809998,1437,65
1400000US06037213201,6037213201,2023,518,476,91.889999,460,16
1400000US06037213202,6037213202,2023,417,408,97.839996,399,9
1400000US06037213310,6037213310,2023,91,89,97.800003,87,2
1400000US06037213320,6037213320,2023,900,860,95.559998,838,22
1400000US06037213402,6037213402,2023,546,533,97.620003,520,13
1400000US06037214100,6037214100,2023,623,150,24.08,147,3
1400000US06037214501,6037214501,2023,491,161,32.790001,158,3
1400000US06037216201,6037216201,2023,125,103,82.400002,94,9
1400000US06037216301,6037216301,2023,301,203,67.440002,188,15
1400000US06037216700,6037216700,2023,1579,803,50.849998,696,107
1400000US06037217101,6037217101,2023,269,253,94.050003,243,10
1400000US06037218110,6037218110,2023,1706,1294,75.849998,1242,52
1400000US06037218210,6037218210,2023,360,346,96.110001,335,11
1400000US06037218300,6037218300,2023,329,291,88.449997,262,29
1400000US06037218800,6037218800,2023,373,352,94.370003,346,6
1400000US06037218900,6037218900,2023,729,628,86.150002,583,45
1400000US06037219010,6037219010,2023,396,350,88.379997,340,10
1400000US06037219300,6037219300,2023,508,459,90.349998,434,25
1400000US06037219700,6037219700,2023,789,727,92.139999,713,14
1400000US06037219800,6037219800,2023,619,582,94.019997,546,36
1400000US06037219902,6037219902,2023,536,479,89.370003,461,18
1400000US06037220000,6037220000,2023,200,187,93.5,184,3
1400000US06037220100,6037220100,2023,727,549,75.519997,515,34
1400000US06037221120,6037221120,2023,542,542,100,531,11
1400000US06037221304,6037221304,2023,303,294,97.029999,287,7
1400000US06037221401,6037221401,2023,925,881,95.239998,843,38
1400000US06037221602,6037221602,2023,1791,1725,96.309998,1700,25
1400000US06037221810,6037221810,2023,344,329,95.639999,320,9
1400000US06037221900,6037221900,2023,273,264,96.699997,261,3
1400000US06037222002,6037222002,2023,385,355,92.209999,346,9
1400000US06037222500,6037222500,2023,1716,1605,93.529999,1557,48
