geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count,food_desert,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct,total_pop
1400000US06037121010,6037121010,2022,3436,3224,93.830002,3007,217,no,5232,358,6.8425078,1495,28.57416,5277
1400000US06037121020,6037121020,2022,440,408,92.730003,377,31,no,3627,553,15.24676,1338,36.889992,3661
1400000US06037121102,6037121102,2022,253,193,76.279999,165,28,yes,2260,150,6.6371679,754,33.362831,2271
1400000US06037121210,6037121210,2022,344,274,79.650002,232,42,yes,2773,262,9.4482508,972,35.052288,2922
1400000US06037121222,6037121222,2022,2482,2208,88.959999,2021,187,no,4822,769,15.94774,1645,34.114475,4872
1400000US06037121600,6037121600,2022,40,28,70,26,2,no,2624,351,13.376524,677,25.800304,2635
1400000US06037121801,6037121801,2022,305,293,96.07,281,12,no,3864,508,13.146998,2125,54.994823,3916
1400000US06037121900,6037121900,2022,347,325,93.660004,306,19,no,3285,491,14.946728,961,29.254187,3314
1400000US06037122000,6037122000,2022,481,443,92.099998,418,25,no,5034,402,7.9856973,1144,22.725468,5034
1400000US06037122122,6037122122,2022,483,456,94.410004,431,25,no,2507,728,29.038692,1747,69.684883,2507
1400000US06037122200,6037122200,2022,194,181,93.300003,172,9,yes,3883,353,9.090909,1532,39.454029,3884
1400000US06037122420,6037122420,2022,440,415,94.32,397,18,no,5064,937,18.50316,2070,40.876778,5113
1400000US06037123010,6037123010,2022,1542,1357,88,1307,50,no,3908,873,22.338793,2372,60.696007,3948
1400000US06037123301,6037123301,2022,370,360,97.300003,348,12,no,4036,384,9.5143709,1077,26.684837,4068
1400000US06037123303,6037123303,2022,561,529,94.300003,506,23,no,3029,549,18.124794,1171,38.659622,3029
1400000US06037123420,6037123420,2022,1429,1326,92.790001,1280,46,no,4401,1091,24.78982,1907,43.331062,4401
1400000US06037123510,6037123510,2022,653,601,92.040001,586,15,no,4782,1168,24.424927,2382,49.811794,4911
1400000US06037123601,6037123601,2022,1828,1672,91.470001,1578,94,no,5024,786,15.644904,1730,34.434715,5145
1400000US06037123602,6037123602,2022,559,517,92.489998,486,31,no,3164,852,26.927938,1369,43.268017,3190
1400000US06037123700,6037123700,2022,629,457,72.660004,401,56,no,4214,676,16.041765,1152,27.337446,4214
1400000US06037123901,6037123901,2022,1619,1408,86.970001,1345,63,no,3982,1079,27.096935,2046,51.381214,3986
1400000US06037124102,6037124102,2022,625,573,91.68,533,40,no,3635,891,24.511692,1510,41.540577,3650
1400000US06037124201,6037124201,2022,599,573,95.660004,547,26,no,3837,388,10.112066,1013,26.400833,3837
1400000US06037124300,6037124300,2022,277,260,93.860001,250,10,no,2913,212,7.2777205,826,28.355648,2964
1400000US06037124600,6037124600,2022,1426,709,49.720001,629,80,no,2607,187,7.1729956,329,12.619869,2608
1400000US06037124700,6037124700,2022,389,130,33.419998,118,12,no,5279,443,8.3917407999999991,1125,21.310854,5409
1400000US06037124902,6037124902,2022,301,227,75.419998,204,23,no,3290,437,13.282675,1255,38.145897,3301
1400000US06037125101,6037125101,2022,2699,1636,60.619999,1472,164,no,3978,482,12.116642,1035,26.018099,3978
1400000US06037125102,6037125102,2022,604,153,25.33,134,19,no,1948,170,8.7268991,179,9.1889114,1948
1400000US06037125310,6037125310,2022,902,579,64.190002,551,28,no,3555,659,18.537271,1009,28.382559,3598
1400000US06037125322,6037125322,2022,313,275,87.860001,272,3,no,1981,613,30.943968,953,48.107018,1981
1400000US06037125600,6037125600,2022,434,285,65.669998,248,37,no,2941,239,8.1264877,427,14.518871,2941
1400000US06037127210,6037127210,2022,2383,2125,89.169998,2034,91,no,5617,616,10.966708,2154,38.347874,5630
1400000US06037127400,6037127400,2022,407,379,93.120003,368,11,no,5854,883,15.083703,2536,43.320805,5855
1400000US06037127603,6037127603,2022,530,514,96.980003,492,22,no,2788,627,22.489239,1499,53.76614,2791
1400000US06037127803,6037127803,2022,245,164,66.940002,144,20,no,4984,1086,21.789726,1836,36.837883,5068
1400000US06037127805,6037127805,2022,382,367,96.07,354,13,no,3239,665,20.531029,1500,46.310589,3518
1400000US06037127806,6037127806,2022,2394,2034,84.959999,1908,126,no,3576,532,14.876958,1052,29.418344,3576
1400000US06037127910,6037127910,2022,880,631,71.699997,591,40,no,4758,1299,27.301388,2566,53.930222,4908
1400000US06037127920,6037127920,2022,582,547,93.989998,522,25,no,4622,906,19.601904,1508,32.626568,4622
1400000US06037128102,6037128102,2022,729,653,89.57,608,45,no,4725,622,13.164021,1730,36.613758,4750
1400000US06037128302,6037128302,2022,639,619,96.870003,604,15,no,4769,1416,29.691759,2548,53.428391,4790
1400000US06037128602,6037128602,2022,386,197,51.040001,174,23,no,2859,242,8.4644985,390,13.641133,2863
1400000US06037128802,6037128802,2022,1934,1285,66.440002,1194,91,no,4186,170,4.0611563,466,11.132346,4186
1400000US06037128910,6037128910,2022,163,82,50.310001,81,1,no,4728,285,6.0279188,779,16.476311,4741
1400000US06037131022,6037131022,2022,294,275,93.540001,265,10,no,2913,446,15.310677,1143,39.2379,2917
1400000US06037131023,6037131023,2022,385,338,87.790001,319,19,no,2774,309,11.13915,1023,36.878155,2774
1400000US06037131100,6037131100,2022,395,252,63.799999,238,14,no,3329,235,7.0591769,889,26.704716,3340
1400000US06037131200,6037131200,2022,332,224,67.470001,186,38,no,3734,416,11.140867,911,24.397429,3796
1400000US06037131300,6037131300,2022,340,331,97.349998,324,7,no,4485,383,8.5395765,1301,29.007803,4502
1400000US06037131600,6037131600,2022,3040,1982,65.199997,1790,192,no,5183,672,12.965464,2348,45.301949,5194
1400000US06037131701,6037131701,2022,41,23,56.099998,21,2,no,5297,935,17.651501,1721,32.490089,5297
1400000US06037131801,6037131801,2022,1036,880,84.940002,803,77,no,3046,543,17.826658,1537,50.459618,3068
1400000US06037131900,6037131900,2022,272,242,88.970001,222,20,no,4216,142,3.3681214,539,12.78463,4255
1400000US06037132001,6037132001,2022,325,256,78.769997,233,23,no,2947,382,12.962335,702,23.820835,2947
1400000US06037132002,6037132002,2022,6024,4872,80.879997,4370,502,no,3641,84,2.3070586,970,26.641033,3707
1400000US06037132301,6037132301,2022,284,254,89.440002,239,15,no,3614,700,19.36912,1226,33.92363,3689
1400000US06037132501,6037132501,2022,6,6,100,5,1,no,4224,471,11.150568,1289,30.516098,4641
1400000US06037132700,6037132700,2022,1907,1692,88.730003,1604,88,no,4823,868,17.997097,2044,42.38026,4846
1400000US06037133000,6037133000,2022,505,343,67.919998,304,39,no,4308,751,17.432684,1375,31.917362,4373
